title,abstract,authors,keywords,affiliations,month,link,journal_name,year,volume,issue,author_first,year_master,year_std
Time-varying demand for lottery: Speculation ahead of earnings announcements,"Investor preferences for holding speculative assets are likely to be more pronounced ahead of firms� earnings announcements, probably because of lower inventory costs and immediate payoffs or because of enhanced investor attention. We show that the demand for lottery-like stocks is stronger ahead of earnings announcements, leading to a price run-up for these stocks. In sharp contrast to the standard underperformance of lottery-like stocks, lottery-like stocks outperform non-lottery stocks by about 52 basis points in the 5-day window ahead of earnings announcements. However, this return spread is reversed by 80 basis points in the 5-day window after the announcements. Moreover, this inverted-V-shaped pattern on cumulative return spreads is more pronounced among firms with a greater retail order imbalance, among firms with low institutional ownership, and in regions with a stronger gambling propensity, and it is also robust after controlling for past 12-month returns and various proxies for investor attention.",[],"['Speculation','Lottery','Earnings announcements','Skewness']",[],December,https://www.sciencedirect.com/science/article/abs/pii/S0304405X20301835,Journal of Financial Economics,1.2433516094596744,138,3,,2020,169.97114190294786
Persuasion in relationship finance,"After initial investments, relationship financiers routinely observe interim information about projects before continuing financing them. Meanwhile, entrepreneurs produce information endogenously and issue securities to incumbent insider and competitive outsider investors. In such persuasion games with differentially informed receivers and contingent transfers, entrepreneurs� endogenous experimentation reduces insiders� information monopoly but impedes relationship formation through an �information production hold-up.� Insiders� information production and interim competition mitigate this hold-up and jointly explain empirical links between competition and relationship lending. Optimal contracts restore first-best outcomes using convertible securities for insiders and residuals for outsiders. Our findings are robust under various extensions and alternative specifications.",[],"['Bayesian persuasion','Experimentation','Hold-up','Information design','Relationship lending','Security design','Venture capital']",[],December,https://www.sciencedirect.com/science/article/abs/pii/S0304405X20301859,Journal of Financial Economics,1.2433516094596744,138,3,,2020,169.97114190294786
Policy uncertainty and corporate credit spreads,"We find a significant positive relation between changes in policy uncertainty and changes in credit spreads. Macroeconomic conditions, including general uncertainty, do not explain this result, which also holds when we use instrumental variables to address endogeneity issues. The impact of policy uncertainty is greater for firms that operate in regulation-intensive industries, face high tax rates, or are dependent on government spending. It is also stronger for firms that engage in political activities or rely on external financing. We conclude that policy uncertainty has a significant effect on firms� borrowing costs, with exposure to government policies representing an important channel.",[],"['Credit spreads','Policy uncertainty','Regulation']",[],December,https://www.sciencedirect.com/science/article/abs/pii/S0304405X20301872,Journal of Financial Economics,1.2433516094596744,138,3,,2020,169.97114190294786
Do people feel less at risk? Evidence from disaster experience,"Past studies typically have focused on whether people perceive more rare risk after experiencing catastrophic disasters. We show that people can also feel less risk with unexpected lucky disaster experience. By exploring a novel identification strategy based on households� expectations, we find that households perceive less (more) risk when they experience disasters that have lower (higher) fatalities than what was expected. This opposite experience effect of rare disasters is substantial. A one standard deviation increase in the negative (positive) experience shock is associated with a 1.71% decrease (a 1.31% increase) in the life insurance-to-portfolio ratio. We discuss three possible mechanisms to account for our empirical findings: incomplete information learning, salience theory, and change in risk preferences.",[],"['Disaster experiences','Risk perceptions','Incomplete information learning','Salience theory','Risk preferences']",[],December,https://www.sciencedirect.com/science/article/abs/pii/S0304405X2030177X,Journal of Financial Economics,1.2433516094596744,138,3,,2020,169.97114190294786
Are lemons sold first? Dynamic signaling in the mortgage market,"A central result in the theory of adverse selection in asset markets is that informed sellers can signal quality and obtain higher prices by delaying trade. This paper provides some of the first evidence of a signaling mechanism through trade delays using the residential mortgage market as a laboratory. We find a strong relationship between mortgage performance and time to sale for privately securitized mortgages. Additionally, deals made up of more seasoned mortgages are sold at lower yields. These effects are strongest in the “Alt-A” segment of the market, where mortgages are often sold with incomplete hard information, and in cases where the originator and the issuer of mortgage-backed securities are not affiliated.","['Manuel Adelino', 'Kristopher Gerardi', 'Barney Hartman-Glaser']","['Mortgage markets', 'Asymmetric information', 'Signaling']",[],April,https://www.sciencedirect.com//science/article/pii/S0304405X18302575,Journal of Financial Economics,1.159193324849707,132,1,Manuel Adelino,2019,169.88699777329293
Should Long-Term Investors Time Volatility?,"A long-term investor who ignores variation in volatility gives up the equivalent of 2.4% of wealth per year. This result holds for a wide range of parameters that are consistent with US stock market data, and it is robust to estimation uncertainty. We propose and test a new channel, the volatility composition channel, for how investment horizon interacts with volatility timing. Investors respond substantially less to volatility variation if the amount of mean reversion in returns disproportionally increases with volatility and also if mean reversion happens quickly. We find that these conditions are unlikely to hold in the data.","['Alan Moreira', 'Tyler Muir']","['Volatility', 'Portfolio choice', 'Market timing', 'Mean reversion']",[],March,https://www.sciencedirect.com//science/article/pii/S0304405X18302745,Journal of Financial Economics,1.159193324849707,131,3,Alan Moreira,2019,169.88699777329293
Average skewness matters,"Average skewness, which is the average of monthly skewness values across firms, performs well at predicting future market returns. This prediction still holds after controlling for the size or liquidity of the firms or for current business cycle conditions. Also, average skewness compares favorably with other economic and financial predictors of subsequent market returns. The asset allocation exercise based on predictive regressions also shows that average skewness generates superior performance.","['Eric Jondeau', 'Qunzi Zhang', 'Xiaoneng Zhu']","['Return predictability', 'Average skewness', 'Idiosyncratic skewness']",[],October,https://www.sciencedirect.com//science/article/pii/S0304405X19300571,Journal of Financial Economics,1.159193324849707,134,1,Eric Jondeau,2019,169.88699777329293
The leverage effect and the basket-index put spread,"Benchmark models that exogenously specify equity dynamics cannot explain the large spread in prices between put options written on individual banks and options written on the bank index during the financial crisis. However, theory requires that asset dynamics be specified exogenously and that endogenously determined equity dynamics exhibit a “leverage effect” that increases put prices by fattening the left tail of the distribution. The leverage effect is larger for puts on individual stocks than for puts on the index, thus increasing the basket-index spread. Time-series and cross-sectional variation in the leverage effect explains option prices well.","['Jennie Bai', 'Robert S. Goldstein', 'Fan Yang']","['Leverage effect', 'Option price', 'Credit spread', 'Volatility']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X18302022,Journal of Financial Economics,1.159193324849707,131,1,Jennie Bai,2019,169.88699777329293
Policy externalities and banking integration,"Can policies directed at the banking sector in one jurisdiction spill over and affect real economic activity elsewhere? To investigate this question, I exploit changes in tax rates on bank profits across US states. Banks respond by reallocating small business lending to otherwise unaffected states. Moreover, counties in non-tax-changing states that have more exposure to treated banks experience greater changes in lending, which in turn impacts local employment. The findings demonstrate that policies aimed at the banking sector in one jurisdiction can impose externalities on other regions. Critically, financial linkages between regions serve as the transmission channel for these policy externalities.",['Michael Smolyansky'],"['Banks', 'Credit supply', 'Policy arbitrage', 'Small business lending', 'Taxation']",[],June,https://www.sciencedirect.com//science/article/pii/S0304405X1830309X,Journal of Financial Economics,1.159193324849707,132,3,Michael Smolyansky,2019,169.88699777329293
The use of credit default swaps by bond mutual funds: Liquidity provision and counterparty risk,"Corporate bond mutual funds increased their selling of credit protection in the credit default swaps (CDS) market during the 2007–2008 financial crisis. This trading activity was primarily in multi-name CDS, greater among larger and established funds, and directed toward counterparty dealers in financial distress. Funds that sold credit protection during the crisis experienced greater credit market risk and superior post-crisis performance, consistent with higher expected returns from liquidity provision. Funds using Lehman Brothers as a counterparty experienced abnormal outflows and returns of –2% immediately following Lehman's bankruptcy, suggesting that funds’ opportunistic trading in CDS exposed investors to counterparty risk.","['George O. Aragon', 'Lei Li', 'Jun ‘QJ’ Qian']","['Bond funds', 'Credit default swaps', 'Crisis', 'Liquidity provision', 'Counterparty risk']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X18302010,Journal of Financial Economics,1.159193324849707,131,1,George O. Aragon,2019,169.88699777329293
Corporate leverage and employees’ rights in bankruptcy,"Corporate leverage responds differently to employees’ rights in bankruptcy depending on whether it is driven by strategic concerns in wage bargaining or by credit constraints. Using novel data on employees’ rights in bankruptcy, we estimate their impact on leverage, exploiting time-series, cross-country, and firm-level variation in the data. For financially unconstrained firms, results accord with the strategic debt model: leverage increases more in response to rises in corporate property values or profitability if employees have strong seniority in liquidation and weak rights in restructuring. Instead, in financially constrained firms leverage responds less to these shocks if employees have stronger seniority.","['Andrew Ellul', 'Marco Pagano']","['Workers’ rights', 'Bankruptcy', 'Seniority', 'Leverage', 'Wage bargaining']",[],September,https://www.sciencedirect.com//science/article/pii/S0304405X19301163,Journal of Financial Economics,1.159193324849707,133,3,Andrew Ellul,2019,169.88699777329293
Shareholder bargaining power and the emergence of empty creditors,"Credit default swaps (CDSs) can create empty creditors who potentially force borrowers into inefficient bankruptcy but also reduce shareholders’ incentives to default strategically. We show theoretically and empirically that the presence and the effects of empty creditors on firm outcomes depend on the distribution of bargaining power among claimholders. If creditors would face powerful shareholders in debt renegotiation, firms are more likely to face the empty creditor problem. The empirical evidence confirms that more CDS insurance is written on firms with strong shareholders and that CDSs increase the bankruptcy risk of these same firms. The ensuing effect on firm value is negative.","['Stefano Colonnello', 'Matthias Efing', 'Francesca Zucchi']","['Empty creditors', 'Credit default swaps', 'Bargaining power', 'Real effects of financial markets']",[],November,https://www.sciencedirect.com//science/article/pii/S0304405X19300868,Journal of Financial Economics,1.159193324849707,134,2,Stefano Colonnello,2019,169.88699777329293
How do valuations impact outcomes of asset sales with heterogeneous bidders?,"Differences among bidder type-specific outcomes of asset sales are theoretically related to differences in bidders’ valuations and participation. The lead application to quantify these relations is takeover auctions: bidders are classified into strategic and financial, and bids are available. I structurally estimate valuations from all bids. The positive difference in premiums between strategic and financial acquirers is driven by the difference in dispersions of valuations (e.g., strategic bidders’ synergies are more dispersed) and the set of auction participants. The difference in average valuations is relatively unimportant. My approach can help explain outcomes of asset sales, even in settings with limited bidder data.",['Alexander S. Gorbenko'],"['Mergers and acquisitions', 'Takeover auctions', 'Strategic bidders', 'Financial bidders', 'Takeover premiums']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X18302083,Journal of Financial Economics,1.159193324849707,131,1,Alexander S. Gorbenko,2019,169.88699777329293
Should retail investors’ leverage be limited?,"Does the provision of leverage to retail traders improve market quality or facilitate socially inefficient speculation that enriches financial intermediaries? We evaluate the effects of 2010 regulations that cap leverage in the U.S. retail foreign exchange market. Using three unique data sets and a difference-in-differences approach, we document that the leverage-constraint reduces trading volume by 23%, alleviates high-leverage traders’ losses by 40%, and reduces brokerages’ operating capital by 25%. Yet, the policy does not affect the relative bid-ask prices charged by the brokerages. These results suggest the policy improves belief-neutral social welfare without reducing market liquidity.","['Rawley Heimer', 'Alp Simsek']","['Leverage restriction policy', 'Foreign exchange market', 'Retail trading', 'Speculation', 'Consumer financial protection']",[],June,https://www.sciencedirect.com//science/article/pii/S0304405X18303076,Journal of Financial Economics,1.159193324849707,132,3,Rawley Heimer,2019,169.88699777329293
Growing up without finance,"Early life exposure to local financial institutions increases household financial inclusion and leads to long-term improvements in consumer credit outcomes. We identify the effect of local financial markets using Congressional legislation that led to unintended differences in financial market development across Native American reservations. Individuals from financially underdeveloped reservations enter consumer credit markets later, and upon reaching adulthood, have ten point lower credit scores and four percentage point more delinquent accounts. These effects are long-lived and depreciate slowly after individuals move to more developed areas. Formative exposures to local banking improve consumer credit behavior by increasing financial literacy and financial trust.","['James R. Brown', 'J. Anthony Cookson', 'Rawley Z. Heimer']","['Household finance', 'Native American reservations', 'Formative exposures', 'Financial development', 'Local banking']",[],December,https://www.sciencedirect.com//science/article/pii/S0304405X19301205,Journal of Financial Economics,1.159193324849707,134,3,James R. Brown,2019,169.88699777329293
Government debt and the returns to innovation,"Elevated levels of government debt raise concerns about their effects on long-term growth prospects. Using the cross-section of US stock returns, we show that (i) high-R&D firms are more exposed to government debt and pay higher expected returns than low-R&D firms, and (ii) higher levels of the debt-to-GDP ratio predict higher risk premiums for high-R&D firms. Furthermore, rises in the cost of capital for innovation-intensive firms predict declines in subsequent productivity and economic growth. We propose a production-based asset pricing model with endogenous innovation and fiscal policy shocks that can rationalize key aspects of the empirical evidence. Our study highlights a novel and distinct risk channel shaping the link between government debt and future growth.","['M.M. Croce', 'Thien T. Nguyen', 'S. Raymond', 'L. Schmid']","['Government debt', 'Fiscal uncertainty', 'Cross section of stock returns', 'Predictability', 'R&D', 'Growth']",[],June,https://www.sciencedirect.com//science/article/pii/S0304405X18303192,Journal of Financial Economics,1.159193324849707,132,3,M.M. Croce,2019,169.88699777329293
The CAPM strikes back? An equilibrium model with disasters,"Embedding disasters into a general equilibrium model with heterogeneous firms induces strong nonlinearity in the pricing kernel, helping explain the empirical failure of the (consumption) CAPM. Our single-factor model reproduces the failure of the CAPM in explaining the value premium in finite samples without disasters and its relative success in samples with disasters. Due to beta measurement errors, the estimated beta-return relation is flat, consistent with the beta “anomaly,” even though the true beta-return relation is strongly positive. Finally, the consumption CAPM fails in simulations, even though a nonlinear model with the true pricing kernel holds exactly by construction.","['Hang Bai', 'Kewei Hou', 'Howard Kung', 'Erica X.N. Li', 'Lu Zhang']","['CAPM', 'Rare disasters', 'Measurement errors', 'Consumption CAPM', 'General equilibrium']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X18302307,Journal of Financial Economics,1.159193324849707,131,2,Hang Bai,2019,169.88699777329293
Technological links and predictable returns,"Employing a classic measure of technological closeness between firms, we show that the returns of technology-linked firms have strong predictive power for focal firm returns. A long-short strategy based on this effect yields monthly alpha of 117 basis points. This effect is distinct from industry momentum and is not easily attributable to risk-based explanations. It is more pronounced for focal firms that: (a) have a more intense and specific technology focus, (b) receive lower investor attention, and (c) are more difficult to arbitrage. Our results are broadly consistent with sluggish price adjustment to more nuanced technological news.","['Charles M.C. Lee', 'Stephen Teng Sun', 'Rongfei Wang', 'Ran Zhang']","['Technology momentum', 'Return predictability', 'Technological closeness', 'Limited attention', 'Market efficiency']",[],June,https://www.sciencedirect.com//science/article/pii/S0304405X18303167,Journal of Financial Economics,1.159193324849707,132,3,Charles M.C. Lee,2019,169.88699777329293
How effective are trading pauses?,"Exploiting Nasdaq order book data and difference-in-differences methodology, we identify the distinct effects of trading pause mechanisms introduced on US stock exchanges after May 2010. We show that the mere existence of such a regulation makes market participants behave differently in anticipation of a pause. Pauses enhance price discovery during the break but have adverse effects on price stability and liquidity after the pause. We find that pauses ultimately do not “cool off” markets but cause extra volatility. This implies a regulatory trade-off between the protective role of trading pauses and their adverse effects on market quality.","['Nikolaus Hautsch', 'Akos Horvath']","['Trading pause', '“Magnet\xa0effect”', 'Price discovery', 'Volatility', 'Liquidity']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X18302356,Journal of Financial Economics,1.159193324849707,131,2,Nikolaus Hautsch,2019,169.88699777329293
Firing the wrong workers: Financing constraints and labor misallocation,"Firms consider wages, current and expected productivity, as well as firing and hiring costs when firing a worker. Financing constraints distort this intertemporal trade-off, leading firms to sub-optimally fire short-tenured workers with high future expected productivity. We provide empirical evidence of this distortion using matched employer-employee data from the Swedish population between 2000 and 2010. We propose a new empirical strategy that uses credit ratings to identify financing constraints and uses exchange rates and trade data to identify demand shocks. Our empirical results identify an important new misallocation effect of financial frictions that operates within firms across different types of workers.","['Andrea Caggese', 'Vicente Cuñat', 'Daniel Metzger']","['Labor misallocation', 'Firing decisions', 'Financing constraints']",[],September,https://www.sciencedirect.com//science/article/pii/S0304405X1830206X,Journal of Financial Economics,1.159193324849707,133,3,Andrea Caggese,2019,169.88699777329293
Financing intangible capital,"Firms finance intangible investment through employee compensation contracts. In a dynamic model in which intangible capital is embodied in a firm’s employees, we analyze the firm’s optimal decisions on intangible capital investment, employee compensation contracts, and financial leverage. Employee financing is achieved by delaying wage payments in the form of future claims. We show that intangible capital investment is highly correlated with employee financing but not with debt issuance or regular equity refinancing. In our quantitative analysis, we show that this new channel of employee financing explains the cross-industry differences in leverage and financing patterns.","['Qi Sun', 'Mindy Z. Xiaolan']","['Intangible investment', 'Limited commitment', 'Employee financing', 'Debt capacity']",[],September,https://www.sciencedirect.com//science/article/pii/S0304405X19300881,Journal of Financial Economics,1.159193324849707,133,3,Qi Sun,2019,169.88699777329293
The role of executive cash bonuses in providing individual and team incentives,"Given CEOs’ substantial equity portfolios, much recent literature on CEO incentives regards cash-based bonus plans as largely irrelevant, begging the question of why nearly all CEO compensation plans include such bonuses. We develop a new measure of bonus plan incentives and show that performance sensitivities are much greater than prior estimates. We also test hypotheses regarding the role of bonuses in providing executives with individualized and team incentives. We find little evidence supporting the individualized incentives hypotheses but find consistent evidence that bonus plans appear to be used to encourage mutual monitoring and to facilitate coordination across the top management team as a whole.","['Wayne R. Guay', 'John D. Kepler', 'David Tsui']","['Executive compensation', 'Managerial incentives', 'Pay-performance sensitivity']",[],August,https://www.sciencedirect.com//science/article/pii/S0304405X19300406,Journal of Financial Economics,1.159193324849707,133,2,Wayne R. Guay,2019,169.88699777329293
Public hedge funds,"Hedge funds managed by listed firms significantly under-perform funds managed by unlisted firms. The under-performance is more severe for funds with low manager deltas, poor governance, and no manager co-investment, or those managed by firms whose prices are sensitive to earnings news. Notwithstanding the under-performance, listed asset management firms raise more capital, by growing existing funds and launching new funds post listing, and harvest greater fee revenues than do comparable unlisted firms. The results are consistent with the view that, for asset management firms, going public weakens the alignment between ownership, control, and investment capital, thereby engendering conflicts of interest.","['Lin Sun', 'Melvyn Teo']","['Hedge funds', 'Asset management', 'Initial public offering', 'Agency', 'Conflicts of interest']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X18302563,Journal of Financial Economics,1.159193324849707,131,1,Lin Sun,2019,169.88699777329293
What’s in a (school) name? Racial discrimination in higher education bond markets,"Historically black colleges and universities (HBCUs) pay higher underwriting fees to issue tax-exempt bonds, compared with similar non-HBCUs, apparently reflecting higher costs of finding willing buyers. The effect is three times larger in the Deep South, where racial animus remains the most severe. Credit quality plays little role. For example, identical differences are observed between HBCU and non-HBCUs with AAA ratings or when insured by the same company, even before the 2007–2009 financial crisis. HBCU-issued bonds are also more expensive to trade in secondary markets and, when they do, sit in dealer inventory longer.","['Casey Dougal', 'Pengjie Gao', 'William J. Mayew', 'Christopher A. Parsons']","['Municipal bonds', 'Discrimination', 'Historically black college and university']",[],December,https://www.sciencedirect.com//science/article/pii/S0304405X19301242,Journal of Financial Economics,1.159193324849707,134,3,Casey Dougal,2019,169.88699777329293
Disaster on the horizon: The price effect of sea level rise,"Homes exposed to sea level rise (SLR) sell for approximately 7% less than observably equivalent unexposed properties equidistant from the beach. This discount has grown over time and is driven by sophisticated buyers and communities worried about global warming. Consistent with causal identification of long-horizon SLR costs, we find no relation between SLR exposure and rental rates and a 4% discount among properties not projected to be flooded for almost a century. Our findings contribute to the literature on the pricing of long-run risky cash flows and provide insights for optimal climate change policy.","['Asaf Bernstein', 'Matthew T. Gustafson', 'Ryan Lewis']","['Climate change', 'Asset prices', 'Beliefs', 'Sea level rise', 'Real estate']",[],November,https://www.sciencedirect.com//science/article/pii/S0304405X19300807,Journal of Financial Economics,1.159193324849707,134,2,Asaf Bernstein,2019,169.88699777329293
Bankruptcy spillovers,"How do different bankruptcy approaches affect the local economy? Using US Census microdata, we explore the spillover effects of reorganization and liquidation on geographically proximate firms. We exploit the random assignment of bankruptcy judges as a source of exogenous variation in the probability of liquidation. We find that employment declines substantially in the immediate neighborhood of the liquidated establishments, relative to reorganized establishments. The spillover effects are highly localized and concentrate in nontradable and service sectors, consistent with a reduction in local consumer traffic and a decline in knowledge spillovers between firms. The evidence highlights the externalities that bankruptcy design can impose on nonbankrupt firms.","['Shai Bernstein', 'Emanuele Colonnelli', 'Xavier Giroud', 'Benjamin Iverson']","['Bankruptcy', 'Agglomeration', 'Local economy']",[],September,https://www.sciencedirect.com//science/article/pii/S0304405X18302733,Journal of Financial Economics,1.159193324849707,133,3,Shai Bernstein,2019,169.88699777329293
Collateralizing liquidity,"I develop a dynamic model of optimal funding to understand why financial assets are used as collateral instead of being sold to raise funds. Firms need funds to invest in risky projects with nonobservable returns. Since holding these assets allows firms to raise these funds, investing firms value the asset more than noninvesting ones. When assets are less than perfectly liquid and investment opportunities are persistent, collateralized debt minimizes asset transfers from investing to noninvesting firms and thus is optimal. Frictions in asset markets lead to an illiquidity discount and a collateral premium, which increase with the asset’s illiquidity.",['Cecilia Parlatore'],"['Collateral', 'Liquidity', 'Optimal contracts', 'Private information']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X18302253,Journal of Financial Economics,1.159193324849707,131,2,Cecilia Parlatore,2019,169.88699777329293
New goods and asset prices,"I extend the consumption capital asset pricing model to incorporate expanding product variety over time and states of nature. In the model, consumers have a love of variety, and consumption consists of different components: product groups and brands. By raising future marginal utility, growth in product groups increases the incentive to save and reduces the risk-free rate. By making marginal utility more volatile, variation in brand and quality growth magnifies consumption risk and raises the equity premium. Embedding new goods in a long-run risk setting has similar implications.",['Paul Scanlon'],"['Equity premium', 'Innovation', 'New product introduction', 'Risk-free rate']",[],June,https://www.sciencedirect.com//science/article/pii/S0304405X18303143,Journal of Financial Economics,1.159193324849707,132,3,Paul Scanlon,2019,169.88699777329293
The profitability and investment premium: Pre-1963 evidence,"I investigate the profitability and investment premium in stock returns using hand-collected data from Moody's Manuals for 1940–1963. Controlling for value, the profitability premium emerges as important in this period. In contrast, there is no reliable relation between investment and returns, regardless of whether investment is measured using growth in total assets or book equity and even after extending the data back to 1926. In spanning regressions, factors constructed from profitability and book-to-market ratios (RMW and HML, respectively) improve the mean-variance efficient tangency portfolio but the investment factor (CMA) does not.",['Sunil Wahal'],"['Asset pricing', 'Multifactor models', 'Dividend discount model', 'Profitability', 'Investment']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X18302599,Journal of Financial Economics,1.159193324849707,131,2,Sunil Wahal,2019,169.88699777329293
Dividend payments as a response to peer influence,"I show dividend policies have peer effects. My estimates indicate that firms speed up the time taken to make a dividend change by about 1.5 quarters and increase payments by 16% in response to peer changes. The peer effects matter in increases but not decreases. In contrast to dividends, repurchases show no peer effects. In addition, announcement returns indicate that investors partially anticipate the consequences of peer effects. Overall, peer interdependencies account for 12% of total dividend payments.",['Jillian Grennan'],"['Dividends', 'Payout', 'Repurchases', 'Peer effects', 'Announcement returns']",[],March,https://www.sciencedirect.com//science/article/pii/S0304405X18302757,Journal of Financial Economics,1.159193324849707,131,3,Jillian Grennan,2019,169.88699777329293
Stunted firms: The long-term impacts of colonial taxation,"I study how the colonial mita forced labor system (1573–1812) impacted Peruvian firms’ formalization, investment, and performance measured by the 2008 business census. Regression discontinuity models with granular geospatial controls reveal lower sales and fixed assets, less likely use of a commercial name, and less likely tax ID registration for firms within mita boundaries. Firms with banking relationships in mita regions struggle more financially. Evidence on centuries-long disadvantageous taxation in mita regions suggests a persistent channel of distrust. Individuals in mita regions surveyed today show lower levels of trust in the tax authority and more informality at their workplace.",['Gabriel Natividad'],"['Firm investment', 'Institutions', 'Culture', 'Taxation']",[],December,https://www.sciencedirect.com//science/article/pii/S0304405X19301175,Journal of Financial Economics,1.159193324849707,134,3,Gabriel Natividad,2019,169.88699777329293
Acquirer reference prices and acquisition performance,"In a comprehensive sample of mergers and acquisitions, we find a reference price effect: acquirers earn higher (lower) announcement-period returns when their pre-announcement stock prices are well below (near) their 52-week highs. This reference price effect is stronger in acquisitions of private targets, deals involving greater uncertainty, and acquirers with greater individual investor ownership, and it is reversed in the subsequent year. Further, acquirer reference prices affect bid premia and target announcement-period returns in deals with greater uncertainty in acquirer valuation. The overall evidence is consistent with investors irrationally using 52-week high prices as a measure of acquirer valuation.","['Qingzhong Ma', 'David A. Whidbee', 'Wei Zhang']","['Mergers', 'Acquisitions', 'Anchoring', 'Reference point', 'Perceived valuation']",[],April,https://www.sciencedirect.com//science/article/pii/S0304405X18302800,Journal of Financial Economics,1.159193324849707,132,1,Qingzhong Ma,2019,169.88699777329293
Dynamic corporate liquidity,"In contrast to cash holdings, credit lines give firms financial flexibility by providing liquidity contingent on realized funding needs, but they are often limited by collateral and covenants. We embed this trade-off into an estimated dynamic model of financing and investment. Our model highlights the relevance of drawing down credit lines to fund investment options in an effective way and quantitatively matches well the levels and dynamics of cash, credit lines, and leverage. In the cross-section, modeling credit lines as contingent liquidity provides novel empirical predictions and rationalizes several stylized facts regarding credit line usage, covenant violations, and cash holdings.","['Boris Nikolov', 'Lukas Schmid', 'Roberto Steri']","['Cash', 'Credit lines', 'Collateral', 'Covenants', 'Structural estimation']",[],April,https://www.sciencedirect.com//science/article/pii/S0304405X18302824,Journal of Financial Economics,1.159193324849707,132,1,Boris Nikolov,2019,169.88699777329293
What a difference a (birth) month makes: The relative age effect and fund manager performance,"Many US states have a single cutoff date for school entry, meaning that some children are older than others when they begin kindergarten. We show that this variation in birth months is associated with differences in adult labor market outcomes in the mutual fund industry. Relatively older managers (i.e., those born just after the cutoff) make better stock selections, and their funds outperform their younger peers’ funds by 0.48% per annum. This difference is linked to increased confidence. Survey respondents judge relatively older managers as appearing more confident in photographs, and these managers display more confident behavior: making larger bets, window dressing their holdings less, and securing more fund flows conditional on performance.","['John (Jianqiu) Bai', 'Linlin Ma', 'Kevin A. Mullally', 'David H. Solomon']","['Relative age effect', 'Mutual funds', 'Fund performance', 'Confidence']",[],April,https://www.sciencedirect.com//science/article/pii/S0304405X18302794,Journal of Financial Economics,1.159193324849707,132,1,John (Jianqiu) Bai,2019,169.88699777329293
Selection versus talent effects on firm value,"Measuring the value of labor-market hires for stock prices, be it underwriters when firms go public (IPOs) or chief executive officers (CEOs), is difficult due to selection. Opaque firms with higher costs of capital benefit more from prestigious underwriters, while productive firms benefit more from talented CEOs. Using assignment models, we show that the importance of talent (or agent heterogeneity) relative to selection (or firm heterogeneity) is measured by wage increases across agents of different compensation ranks divided by changes in output across their firms. The median of this ratio is 0.5% for underwriters and 2% for CEOs.","['Briana Chang', 'Harrison Hong']","['CEO', 'Underwriters', 'IPO Underpricing', 'Prestige', 'Talent', 'Selection', 'Sorting']",[],September,https://www.sciencedirect.com//science/article/pii/S0304405X19300017,Journal of Financial Economics,1.159193324849707,133,3,Briana Chang,2019,169.88699777329293
Option prices and costly short-selling,"Much empirical evidence shows that stock short-selling costs and bans have significant effects on option prices. We reconcile these findings by providing a dynamic analysis of option prices with costly short-selling and option market makers. We obtain simple, closed-form, unique option bid and ask prices that represent option market makers’ expected hedging costs, and are weighted averages of well-known benchmark prices (Black–Scholes, Heston). Our analysis delivers rich implications that support the empirical evidence on the effects of short-selling costs and bans on option prices, as well as uncovering several novel predictions. We also apply our methodology to corporate bonds, which have option-like payoffs.","['Adem Atmaz', 'Suleyman Basak']","['Option prices', 'Options market making', 'Shorting fee', 'Partial lending', 'Short-selling bans']",[],October,https://www.sciencedirect.com//science/article/pii/S0304405X19300893,Journal of Financial Economics,1.159193324849707,134,1,Adem Atmaz,2019,169.88699777329293
Cross-sectional alpha dispersion and performance evaluation,"Our paper explores the link between cross-sectional fund return dispersion and performance evaluation. The foundation of our model is the simple intuition that in periods of high return dispersion, which is associated with high levels of idiosyncratic risk for zero-alpha funds, unskilled managers can more easily disguise themselves as skilled. Rational investors should be more skeptical and apply larger discounts to reported performance in high dispersion environments. Our empirical results are consistent with this prediction. Using fund flow data, we show that a one standard deviation increase in cross-sectional return dispersion is associated with an 11% to 17% decline in flow-performance sensitivity. The effect is stronger for recent data and among outperforming funds.","['Campbell R. Harvey', 'Yan Liu']","['Alpha', 'Hedge funds', 'Mutual funds', 'Performance evaluation', 'Bayesian', 'Appraisal ratio', 'Flow-performance sensitivity', 'Flow-performance convexity', 'Idiosyncratic risk', 'Performance ranks']",[],November,https://www.sciencedirect.com//science/article/pii/S0304405X1930090X,Journal of Financial Economics,1.159193324849707,134,2,Campbell R. Harvey,2019,169.88699777329293
