Token,Frequency,Year
option pric,1,2002
affin term structur,1,2002
divestitur,1,2002
corpor focus,1,2002
real opt,1,2002
corpor strategi,1,2002
resourc,1,2002
learn,1,2002
debt polici,1,2002
payout polici,1,2002
growth opportun,1,2002
pension fund,1,2002
condit,1,2002
portfolio weight,1,2002
merger and acquisit,1,2002
execut stock opt,1,2002
employe stock opt,1,2002
cross-list,1,2002
sharehold protect,1,2002
legal system,1,2002
financi perform,1,2002
ownership structur,4,2002
alloc polici,1,2002
main bank,1,2002
korean bank crisi,1,2002
bank relationship,1,2002
tax and portfolio cho,1,2002
trade volum,1,2002
execut compen,1,2002
volatil smiles and smirk,1,2002
401(k),1,2002
asset alloc,1,2002
firm-specif risk,1,2002
internet,1,2002
incent,1,2002
liquid,1,2002
incom taxat,1,2002
diverg of opinion,1,2002
after-tax return,1,2002
price kernel,1,2002
risk av,1,2002
institut investor,1,2002
agenc theori,1,2002
world wide web,1,2002
bank durabl,1,2002
order imb,1,2002
client firm valu,1,2002
manageri ownership,1,2002
mutual fund,5,2002
corpor govern,5,2002
secur lend,3,2002
short-sal constraint,3,2002
initi public off,3,2002
diversif,3,2002
differ of opinion,2,2002
law,2,2002
perform evalu,2,2002
limit to arbitrag,2,2002
contract,2,2002
valuat,2,2002
portfolio select,2,2002
ipo,2,2002
deriv,2,2002
financi system,2,2002
short-sel,2,2002
capit structur,2,2002
overreact,2,2002
market effici,2,2002
hedg,1,2002
insur,1,2002
asset liquid,2,2002
thrift,1,2002
model uncertainti,1,2002
bayesian model averag,1,2002
varianc decomposit,1,2002
local tim,1,2002
nonparametr estim,1,2002
short-term interest r,1,2002
ipo method,1,2002
invest bank,1,2002
synchron risk,1,2002
market tim,1,2002
effici market hypothesi,1,2002
behavior financ,1,2002
jump-risk premium,1,2002
return predict,1,2002
market microstructur,1,2002
transact cost,1,2002
portfolio manag,1,2002
bookbuild,1,2002
underpr,1,2002
regul,1,2002
intermedi,1,2002
stock return predict,1,2002
incomplet market,1,2002
inform asymmetri,1,2002
estim of diffus,1,2002
new economi,1,2002
insur compani,1,2002
exchang r,1,2002
uninsur deposit,1,2002
depositor disciplin,1,2002
capit alloc,1,2002
execut turnov,1,2002
pay–perform sensit,1,2002
onlin trad,1,2002
arbitrag,1,2002
retir sav,1,2002
pyramid group,1,2002
ipo underpr,1,2002
secur litig,1,2002
endogen,1,2002
firm growth,1,2002
financi institut,1,2002
short,1,2002
lend fe,1,2002
book build,1,2002
price,1,2002
investor protect,1,2002
strateg allianc,1,2003
diversif discount,1,2003
underwrit,1,2003
season public off,1,2003
bank financ,1,2003
ventur capit,1,2003
inform asymmetri,1,2003
capit demand,1,2003
product market-financi market interact,1,2003
interst branch,1,2003
investor senti,1,2003
futur gdp,1,2003
short-term interest r,1,2003
boundari of the firm,1,2003
econom of organ,1,2003
ownership inc,1,2003
decis author,1,2003
locat deci,1,2003
riegle–n act,1,2003
communiti bank,1,2003
spinoff,1,2003
continuous-tim estim,1,2003
fisher effect,1,2003
simul maximum likelihood,1,2003
gmm,1,2003
stock return,1,2003
partial privat,1,2003
predict regress,1,2003
chapter 11,1,2003
predict,1,2003
strateg asset alloc,1,2003
china,1,2003
state-own enterpri,1,2003
perform chang,1,2003
execut stock opt,1,2003
repric,1,2003
acquisit,1,2003
breakup fe,1,2003
unhedg risk,1,2003
long-horizon predict,1,2003
asset pric,1,2003
illiquid,1,2003
invest bank,1,2003
hedg,1,2003
risk manag,1,2003
financi instru,1,2003
ceo compen,1,2003
reput,1,2003
stock-bas pay,1,2003
director compen,1,2003
board seat,1,2003
settling-up,1,2003
equival inventori,1,2003
debtor-in-possess financ,1,2003
financi cris,1,2003
religion,1,2003
flip,1,2003
capit flow,1,2003
trade,1,2003
matur structur,1,2003
realiz volatil,1,2003
portfolio optim,1,2003
mean-vari analysi,1,2003
roll estim,1,2003
auction,1,2003
risk shift,1,2003
asset substitut,1,2003
incent pay,1,2003
manageri conservat,1,2003
interest r,1,2003
rever,1,2003
capit control,1,2003
polit connect,1,2003
institut,1,2003
takeov premium,1,2003
market microstructur,1,2003
empir analysi,1,2003
intern,1,2003
polit,1,2003
intertempor hedg demand,1,2003
post-bankruptci perform,1,2003
web traff,1,2003
internet,1,2003
market,1,2003
languag,1,2003
diversifi firm,1,2003
intern capit market,1,2003
restrict stock,1,2003
stock repurcha,1,2003
lockup restrict,1,2003
dealer firm,1,2003
volatil tim,1,2003
trade volum,1,2003
alloc,1,2003
penalti bid,1,2003
mutual fund,1,2003
market structur,1,2003
perform,1,2003
behavior financ,1,2003
time-vari expect return,1,2003
return predict,1,2003
season,1,2003
return rev,1,2003
macroeconom,1,2003
earn manag,1,2003
privat control benefit,1,2003
financi system,1,2003
invest,1,2003
r&d,1,2003
cultur,1,2003
limit ord,1,2003
trade cost,1,2003
competit,1,2003
stochast volatil,2,2003
term structur,2,2003
law,2,2003
front-run,2,2003
inform trad,2,2003
ownership,2,2003
barrier opt,2,2003
inventori,2,2003
initi public off,2,2003
inform diffus,1,2003
takeov law,1,2003
execut compen,2,2003
privat debt,1,2003
public debt,1,2003
debt polici,1,2003
endow,1,2003
econom develop,1,2003
properti right,1,2003
momentum strategi,1,2003
busi group,1,2003
markup,1,2003
secur valuat,1,2003
bankruptci predict,1,2003
quadratur,1,2003
effect spread,1,2003
option valuat,1,2003
new,2,2003
dual trad,2,2003
market ord,1,2003
corpor govern,6,2003
ipo,4,2003
underpr,4,2003
capit structur,4,2003
investor protect,3,2003
merger and acquisit,3,2003
liquid,3,2003
valuat,2,2003
takeov,2,2003
agenc theori,2,2003
bankruptci,2,2003
restructur,2,2003
merger,2,2003
termin fe,2,2003
ownership structur,2,2003
board of director,2,2003
financi develop,2,2003
market effici,2,2003
financi market,2,2003
busi cycl,2,2003
bank,2,2003
growth,2,2003
portfolio cho,2,2003
deriv,2,2003
numer techniqu,1,2003
ceo turnov,2,2003
dual-class firm,1,2003
valu,1,2003
momentum,1,2003
asset alloc,1,2003
portfolio select,1,2003
jump,1,2003
peck order theori,1,2003
financ deficit,1,2003
bank relationship,1,2003
bank distress,1,2003
norwegian bank crisi,1,2003
dual class,1,2003
posit feedback,1,2003
prorat,1,2003
uninform subscrib,1,2003
altern trade system,1,2003
execut cost,1,2003
electron communic network,1,2003
cross system,1,2003
correl risk exposur,1,2003
closed-end fund,1,2003
open-end,1,2003
repurcha,1,2003
lookback opt,1,2003
right off,1,2003
g28,1,2003
comov,1,2003
capit gain tax,1,2003
investor sophist,1,2003
industri rivalri,1,2003
style invest,1,2003
financi constraint,1,2003
quotat strategi,1,2003
arbitrag risk,1,2003
book-to-market,1,2003
mispric,1,2003
vote premium,1,2003
profit,1,2003
sharehold expropri,1,2003
corpor control,1,2003
product market,1,2003
transact cost,1,2003
competit for order flow,1,2003
institut trad,1,2003
offer-term adjust,1,2003
secondari shar,1,2003
signal-jam,1,2003
signal,1,2003
institut investor,1,2003
synergi,1,2003
agenc cost of debt,1,2003
govern,1,2003
initi public offer (ipo),1,2003
g20,1,2003
blockhold,1,2003
stock off,1,2004
co-mov,1,2004
specialist firm,1,2004
januari effect,1,2004
tax-loss sel,1,2004
payment for order flow,1,2004
credit alloc,1,2004
bank competit,1,2004
market anomali,1,2004
sharehold lawsuit,1,2004
transact cost,1,2004
cross-bord lib,1,2004
seo,1,2004
decim,1,2004
loss,1,2004
asset price tests: invest,1,2004
data generat process,1,2004
t distribut,1,2004
bayesian analysi,1,2004
valuat,1,2004
ex-dividend day price drop,1,2004
tick siz,1,2004
nyse rule 118,1,2004
corpor earn,1,2004
intern,1,2004
privat benefit of control,1,2004
earn concentr,1,2004
portfolio cho,1,2004
upstair market,1,2004
privat,1,2004
quot aggress,1,2004
perform fe,1,2004
invest restrict,1,2004
limit order book,1,2004
electron exchang,1,2004
cross rul,1,2004
target leverag,1,2004
analyst recommend,1,2004
merger wav,1,2004
brokerag analyst,1,2004
short-sel,1,2004
wash sal,1,2004
employe ownership,1,2004
empir anomali,1,2004
irrev,1,2004
general equilibrium,1,2004
leverag effect,1,2004
book-to-market,1,2004
convert,1,2004
financi innov,1,2004
anomali,1,2004
manipul,1,2004
busi invest,1,2004
cauchi jump,1,2004
discount r,1,2004
analyst forecast,1,2004
stock return,1,2004
spread,1,2004
hedg fund,1,2004
firm valu,1,2004
valu of tax shield,1,2004
condit volatil,1,2004
deriv pric,1,2004
new list,1,2004
surviv,1,2004
profit,1,2004
growth,1,2004
random time chang,1,2004
option pric,1,2004
fourier transform,1,2004
measur chang,1,2004
return autocorrel,1,2004
tax-loss trad,1,2004
bid/ask spread,1,2004
inventory-hold premium,1,2004
expect insur cost,1,2004
semi-vari,1,2004
stochast time to expir,1,2004
glass-steag,1,2004
underwrit,1,2004
credibl commit,1,2004
specialist and dealer market,1,2004
serial correl,1,2004
perform smooth,1,2004
term structur,1,2004
random field,1,2004
paramet stabil,1,2004
requir return to equ,1,2004
execut qu,1,2004
bank loan,1,2004
bailout,1,2004
chaebol,1,2004
main bank,1,2004
poisson jump,1,2004
diffus,1,2004
financi market,1,2004
intrafirm transact,1,2004
leverag cost,1,2004
unlev beta,1,2004
lever beta,1,2004
estim,1,2004
diffus process,1,2004
interest r,1,2004
nonlinear,1,2004
predict regress,1,2004
bia,1,2004
expect return,1,2004
joint ventur,1,2004
taxat,1,2004
maximum likelihood,1,2004
multin firm,1,2004
portfolio,1,2004
health,1,2004
cost of capit,1,2004
real opt,1,2004
economi of scal,1,2004
agenc cost,1,2004
ownership structur,1,2004
busi group,1,2004
depth,1,2004
equiti market tim,1,2004
firm perform,1,2004
valu,1,2004
public off,1,2004
diversif,1,2004
option,1,2004
hedg,1,2004
insur,1,2004
style,1,2004
intern market,1,2004
privat plac,1,2004
moral hazard,1,2004
resourc alloc,1,2004
inform product,1,2004
style invest,1,2004
opac,1,2004
intern labor market,1,2004
conglom,1,2004
asymmetr inform,1,2004
spin-off,1,2004
market structur,1,2004
catastroph risk,1,2004
basi risk,1,2004
order imb,1,2004
privat inform,1,2004
learn,1,2004
corpor financ,1,2004
fundrai,1,2004
manag turnov,1,2004
return predict,1,2004
intern capit market,1,2004
govern,2,2004
insid trad,1,2004
corpor govern,6,2004
market effici,6,2004
liquid,5,2004
ipo,4,2004
capit structur,4,2004
ventur capit,3,2004
momentum,3,2004
acquisit,2,2004
invest,2,2004
microstructur,2,2004
merger and acquisit,2,2004
merger,2,2004
mutual fund,2,2004
equiti premium,2,2004
spinoff,2,2004
trade strategi,2,2004
lévi process,2,2004
bargain pow,2,2004
organiz form,2,2004
bank,2,2004
dividend,2,2004
payout polici,2,2004
institut,2,2004
risk,2,2004
earn manag,2,2004
intern cross-list,2,2004
risk premium,1,2004
statist arbitrag,1,2004
control sharehold,2,2004
structur break,1,2004
price impact,1,2004
investor protect,1,2004
principal-ag,1,2004
stochast control,1,2004
board of director,1,2004
compen,1,2004
agenc theori,1,2004
regul,1,2004
impli volatil funct,1,2004
valuat error,1,2004
out-of-sampl forecast,1,2004
limit to arbitrag,1,2004
capit market competit,1,2004
ceo compen,1,2004
search,1,2004
cater,1,2004
dividend premium,1,2004
investor senti,1,2004
institut investor,1,2004
season equiti off,1,2004
earn forecast,1,2004
bidder,1,2004
size effect,1,2004
ceo turnov,1,2004
asset pric,1,2004
ceo success,1,2004
dual issu,1,2004
elast,1,2004
short sale restrict,1,2004
risk-shift,1,2004
market microstructur,1,2004
bondhold gain,1,2004
financi stabil,1,2004
underpr,1,2004
takeov,1,2004
franchis valu,1,2004
ownership,1,2004
window-dress,1,2004
bank risk,1,2004
turn-of-the-year effect,1,2004
emerg market,1,2004
markov-switch model,1,2004
market integr,1,2004
restructur,1,2004
stock return volatil,1,2004
dividend imput,1,2004
bank merg,1,2004
risk-return trade-off,1,2004
time-vari moment of return,1,2004
persist,1,2004
secur analyst,1,2004
buy pow,1,2004
stock recommend,1,2004
rebat r,1,2004
put–cal par,1,2004
too big to fail,1,2004
corpor control,1,2004
collus,1,2004
expect return,1,2005
elector cycl,1,2005
bubbl,1,2005
regul fair disclosur,1,2005
disciplin,1,2005
behavior financ,1,2005
alloc of resourc,1,2005
trade cost,1,2005
govern,1,2005
acquisit,1,2005
serial depend,1,2005
retent,1,2005
geograph locat,1,2005
behavior,1,2005
integr,1,2005
comov,1,2005
index inclus,1,2005
econom growth,1,2005
privat sector,1,2005
reput and relationship,1,2005
valu improv,1,2005
truncat dilemma,1,2005
revel bia,1,2005
agenc problem,1,2005
speed of converg,1,2005
state-own enterpri,1,2005
strateg commun,1,2005
sort,1,2005
capit liquid,1,2005
incent,1,2005
expect hypothesi,1,2005
employe compen,1,2005
liquid cost,1,2005
extrem valu theori,1,2005
mont carlo simul,1,2005
option expir,1,2005
effici,1,2005
collus,1,2005
buyer pow,1,2005
underwrit,1,2005
inflat,1,2005
relationship capit,1,2005
bond pric,1,2005
firm loyalti,1,2005
hedg,1,2005
board,1,2005
stock price clust,1,2005
credit rate agenc,1,2005
momentum trad,1,2005
market govern,1,2005
secur trad,1,2005
order execut qu,1,2005
sec rule 11ac1-5,1,2005
limits-to-arbitrag,1,2005
demand curv,1,2005
execut stock opt,1,2005
japanes incent compen,1,2005
market seg,1,2005
china,1,2005
properti right,1,2005
invest,1,2005
stock opt,1,2005
liquid determin,1,2005
term structur of credit spread,1,2005
peck ord,1,2005
financi innov,1,2005
foreign investor inform disadvantag,1,2005
ration expect,1,2005
profit of momentum strategi,1,2005
short sal,1,2005
short interest,1,2005
limit to arbitrag,1,2005
bayesian analysi,1,2005
general equilibrium,1,2005
term structur of interest r,1,2005
cross-list,1,2005
bond,1,2005
prospect theori,1,2005
mental account,1,2005
disposit effect,1,2005
auction,1,2005
intern portfolio flow,1,2005
book build,1,2005
regul,1,2005
entri,1,2005
uniform pric,1,2005
discriminatori,1,2005
organ,1,2005
soft inform,1,2005
account transpar,1,2005
corpor disclosur qu,1,2005
home bia,1,2005
residenti brokerag,1,2005
capit adequaci,1,2005
competit,1,2005
financ deci,1,2005
select bia,1,2005
short term,1,2005
equiti issu,1,2005
repurcha,1,2005
polit economi,1,2005
corrupt,1,2005
regul fd,1,2005
market react,1,2005
learning.,1,2005
short-sal constraint,1,2005
nyse,1,2005
circuit break,1,2005
world war i,1,2005
momentum strategi,1,2005
trade-s clust,1,2005
round lot,1,2005
odd lot,1,2005
characterist,1,2005
yield,1,2005
squeez,1,2005
tobin q,1,2005
firm valu,1,2005
agenc cost,1,2005
director,1,2005
proxi fight,1,2005
defens tact,1,2005
antitakeov provi,1,2005
stagger board,1,2005
poison pil,1,2005
invest horizon,1,2005
sharehold heterogen,1,2005
privat equ,1,2005
value-at-risk,1,2005
risk-return trade-off,1,2005
risk premium,1,2005
merger wav,2,2005
beta,2,2005
market effici,2,2005
asymmetr inform,2,2005
price target,1,2005
issuer,1,2005
execut compen,1,2005
withdraw,1,2005
partial adjust,1,2005
privat benefit of control,1,2005
larg sharehold,1,2005
valuat,1,2005
market regul,1,2005
law and financ,2,2005
polit of financ,1,2005
capit account open,1,2005
earn forecast,1,2005
offer,1,2005
financi constraint,1,2005
strateg price competit,1,2005
price and locat deci,1,2005
intern invest,1,2005
share repurcha,1,2005
dividend polici,1,2005
dividend taxat,1,2005
equiti lend,1,2005
payout,1,2005
capit realloc,1,2005
stock recommend,1,2005
futur market,2,2005
perform,2,2005
corpor bond return,2,2005
corpor govern,6,2005
takeov,5,2005
merger and acquisit,4,2005
liquid,4,2005
microstructur,4,2005
financi develop,3,2005
ipo,3,2005
real opt,3,2005
tender off,3,2005
emerg market,3,2005
transact cost,3,2005
bank,3,2005
return predict,3,2005
merger,3,2005
ventur capit,2,2005
agenc,2,2005
price manipul,2,2005
event studi,2,2005
portfolio cho,2,2005
asset pric,2,2005
privat,2,2005
institut investor,2,2005
manipul,2,2005
trade,2,2005
foreign exchang,2,2005
mutual fund,2,2005
reput,2,2005
arbitrag,2,2005
underpr,2,2005
secur analyst,1,2005
ucit,1,2005
initi public off,2,2005
time-vari expect return,1,2005
toehold,1,2005
credit r,1,2005
entrench,1,2005
free-rid problem,1,2005
asymmetr effect,1,2005
matur cho,1,2005
season equiti off,1,2005
hedg ratio,1,2005
distress,1,2005
first order risk av,1,2005
loss av,1,2005
downsid risk,1,2005
investor clientel,1,2005
time,1,2005
gdp growth,1,2005
qualiti of institut,1,2005
earn expect,1,2005
risk premia,1,2005
market for corpor control,1,2005
season off,1,2005
term structur,1,2005
right off,1,2005
privat equiti plac,1,2005
growth,1,2005
valu,1,2005
manag qu,1,2005
capit structur,1,2005
stockholder–bondhold conflict,1,2005
limit ord,1,2005
sovereign debt,1,2005
greenmail,1,2005
bias expect,1,2005
target share repurcha,1,2005
percentag commiss contract,1,2005
spillov,1,2005
optim,1,2005
overconfid,1,2005
agenc theori,1,2005
invest tim,1,2005
contract,1,2005
bermudan swapt,1,2005
american opt,1,2005
model risk,1,2005
model calibr,1,2005
liquid risk,1,2005
liquidity-adjust capm,1,2005
employe stock opt,1,2005
flight to liquid,1,2005
least squar mont carlo,1,2005
friction,1,2005
cash-flow predict,1,2005
dividend growth,1,2005
dynam risk manag,1,2005
equiti market lib,1,2005
investor protect,1,2005
law and econom,1,2005
extern financ,1,2005
mutual fund industri,1,2005
condit varianc,1,2005
mida,1,2005
icapm,1,2005
hedg fund,1,2005
option exerci,1,2005
bond pric,1,2006
bubbl,1,2006
high-frequ data,1,2006
uncertainti,1,2006
privat inform,1,2006
financi lib,1,2006
comov,1,2006
inform and market effici,1,2006
categori effect,1,2006
limit att,1,2006
crash,1,2006
corpor control,1,2006
firm-specif risk,1,2006
privat benefit,1,2006
behavior bia,1,2006
financi market volatil,1,2006
valu of tax shield,1,2006
pax britannica,1,2006
adjust present valu,1,2006
risk-tak inc,1,2006
leverag polici,1,2006
hazard estim,1,2006
lumpi invest,1,2006
financ constraint,1,2006
invest bank,1,2006
market,1,2006
unit root,1,2006
stock return,1,2006
dividend yield,1,2006
bonferroni test,1,2006
dividend puzzl,1,2006
contribut capit,1,2006
earn equ,1,2006
consol,1,2006
copula,1,2006
pyramid,1,2006
oper risk,1,2006
knowledg,1,2006
technolog transf,1,2006
allianc,1,2006
pharmaceut industri,1,2006
market tim,1,2006
intern equiti issu,1,2006
intern debt issu,1,2006
intern cross-list,1,2006
prop,1,2006
tunnel,1,2006
connect transact,1,2006
expropri,1,2006
legal system,1,2006
intern corpor govern,1,2006
unlev beta,1,2006
merger,1,2006
risk diversif,1,2006
bank director,1,2006
foreign investor,1,2006
credit risk,1,2006
market risk,1,2006
ownership structur,1,2006
strateg trad,1,2006
look-back trade opt,1,2006
trade cost,1,2006
market structur,1,2006
pension,1,2006
takeov,1,2006
neural network,1,2006
condit inf,1,2006
predict return,1,2006
capm,1,2006
equiti premium,1,2006
oper perform,1,2006
public inform and media coverag,1,2006
target pric,1,2006
maximum-likelihood estim,1,2006
cooper,1,2006
momentum,1,2006
time-vari beta,1,2006
condit capm,1,2006
asset price test,1,2006
asset substitut,1,2006
rate trigg,1,2006
coven,1,2006
pay for luck,1,2006
benchmark,1,2006
gmm,1,2006
endogen,1,2006
tax avoid,1,2006
industri concentr,1,2006
dynam capit structur,1,2006
macroeconom condit,1,2006
januari baromet,1,2006
post-earnings-announc drift,1,2006
return season,1,2006
tradeoff theori,1,2006
firm valu,1,2006
incent compen,1,2006
liquid,1,2006
high frequenc data,1,2006
microstructur noi,1,2006
volatil tim,1,2006
market volatil dynam,1,2006
equiti volatil,1,2006
densiti approxim,1,2006
competit,1,2006
continuous-tim model,1,2006
new product develop,1,2006
invent,1,2006
speed of adjust,1,2006
target,1,2006
market return,1,2006
strateg allianc,1,2006
momentum trad,1,2006
transact cost,1,2006
fraud,1,2006
govern,1,2006
inform manipul,1,2006
contrarian behavior,1,2006
econometr test,1,2006
financi analyst,1,2006
credit spread,1,2006
board of director,1,2006
product market competit,1,2006
valuat,1,2006
market microstructur,1,2006
learn,1,2006
corpor ventur capit,1,2006
entri deterr,1,2006
equiti stak,1,2006
restat,1,2006
price impact,1,2006
misreport,1,2006
defin benefit pension plan,1,2006
time-vari manageri skil,1,2006
asset alloc,1,2006
equiti mutual fund,1,2006
macroeconomi,1,2006
earn momentum,1,2006
price momentum,1,2006
post-earn announc drift,1,2006
toehold,1,2006
freeze-out,1,2006
squeeze-out,1,2006
tender off,1,2006
dynam model,1,2006
inform effici,1,2006
price synchron,1,2006
analyst coverag,1,2006
option,1,2006
relationship bank,1,2006
vote right,1,2006
corpor bond,1,2006
bank competit,1,2006
affin model,1,2006
averag return,1,2006
cash right,1,2006
ventur capit,1,2006
convert secur,1,2006
manag,1,2006
control,1,2006
investor protect,1,2006
perquisit,2,2006
capit budget,2,2006
predict,2,2006
underpr,2,2006
initi public off,2,2006
risk premium,2,2006
expect puzzl,1,2006
acquisit,2,2006
conglom,1,2006
book-to-market equ,1,2006
equiti characterist,1,2006
liquid premium,1,2006
liquid factor,1,2006
trade spe,1,2006
profit,1,2006
capit alloc,1,2006
riegle-n act,1,2006
regulatori competit,1,2006
habit format,1,2006
market integr,1,2006
bank regul,1,2006
takeov of exchang,1,2006
exchang competit,1,2006
famili firm,1,2006
list standard,1,2006
financi constraint,1,2006
risk factor,1,2006
cost of capit,2,2006
invest polici,2,2006
compen,2,2006
tax eva,2,2006
volatil,3,2006
busi cycl,3,2006
dividend,3,2006
leverag,3,2006
capit structur,3,2006
market effici,3,2006
corpor govern,3,2006
invest,3,2006
payout polici,3,2006
stock opt,3,2006
execut compen,5,2006
asset pric,6,2006
dynam forecast,1,2006
earn announc,2,2006
agenc cost,2,2006
cross list,2,2006
herd,2,2006
stock recommend,2,2006
ceo compen,2,2006
corpor debt,2,2006
intern capit market,2,2006
valu,2,2006
return predict,2,2006
intern financi market,2,2006
asymmetr inform,2,2006
patent,2,2006
liquid risk,2,2006
ownership,2,2006
term structur,2,2006
earn forecast,2,2006
secur analyst,2,2006
nasdaq,2,2006
trade volum,2,2006
estim risk,1,2006
ipo,2,2006
corpor jet,1,2006
earn,1,2006
discount r,1,2006
expect return,1,2006
portfolio cho,1,2006
dividend polici,1,2006
closed-fund,1,2006
regul,1,2006
time-vari risk,1,2006
kalman filt,1,2006
diversif,1,2006
labor repres,1,2006
signal,1,2006
employ risk,1,2006
earn manag,1,2006
risk tak,1,2006
stock pric,1,2006
tax shelt,1,2006
capit gain taxat,1,2006
earnings-bas valuat model,1,2006
institut trade cost,1,2006
cross-list compani,1,2006
market transpar,1,2006
forecast,1,2006
reput,1,2006
multin compani,1,2006
cheap talk,1,2006
trust busi,1,2006
corpor risk manag,1,2006
hedg,1,2006
specul,1,2006
hedg benefit,1,2006
collat,1,2006
contest,1,2006
cater,1,2006
tax,1,2006
debt,1,2006
short sel,1,2006
nonexpect util model,1,2006
entrepreneurship,1,2006
inform acquisit,1,2006
bookbuild,1,2006
ipo underpr,1,2006
econom volatil,1,2006
indonesia,1,2006
liquid ne,1,2006
financi develop,1,2006
asian financi crisi,1,2006
financ cho,1,2006
share pric,1,2006
gdp,1,2006
larg trad,1,2006
asset price puzzl,1,2006
transpar,1,2006
inform across market,1,2006
analyst,1,2006
busi incorpor,1,2006
disclosur,1,2006
feedback,1,2006
financ polici,1,2006
margin requir,1,2006
risk-shar,1,2006
investor psycholog,1,2006
irrat trad,1,2006
behavior financ,1,2006
tast shock,1,2006
manageri inc,1,2006
career concern,1,2006
exagg,1,2006
emerg market,1,2006
econom growth,1,2006
regulatori barri,1,2006
noncompetit market,1,2006
arbitrag,1,2006
global research analyst settl,1,2007
independ research,1,2007
trade-s clust,1,2007
china,1,2007
credit deriv,1,2007
precautionari sav,1,2007
recommend,1,2007
foreign currenc debt,1,2007
new issu,1,2007
inform trad,1,2007
capit structur polici,1,2007
manipul,1,2007
municip bond,1,2007
advers select,1,2007
stealth trad,1,2007
risk av,1,2007
interest rate par,1,2007
hedg,1,2007
credit alloc,1,2007
geograph seg,1,2007
execut stock option gr,1,2007
price impact,1,2007
backdat,1,2007
bank competit,1,2007
risk-neutr valuat,1,2007
cross-bord lib,1,2007
volatil feedback,1,2007
incomplet market,1,2007
financi institut,1,2007
analyst forecast,1,2007
analyst optim,1,2007
analyst bia,1,2007
polit connect,1,2007
ipo perform,1,2007
multifrequ new,1,2007
partial privat,1,2007
analyst forecast accuraci,1,2007
senior,1,2007
portfolio hold,1,2007
local ownership,1,2007
price disp,1,2007
classifi board,1,2007
disclosur frequenc,1,2007
post-issu perform,1,2007
market price of risk,1,2007
affin yield model,1,2007
no-arbitrag pric,1,2007
debt,1,2007
legal origin,1,2007
earn manag,1,2007
ownership structur,1,2007
firm valu,1,2007
time inconsist,1,2007
privat inform,1,2007
busi group,1,2007
reput,1,2007
spillov,1,2007
tax spread,1,2007
target capit structur,1,2007
risk return tradeoff,1,2007
nexus of contract,1,2007
one-stop bank,1,2007
drexel burnham lambert,1,2007
commerci bank,1,2007
financi adv,1,2007
bank equiti hold,1,2007
underwrit competit,1,2007
compar financi system,1,2007
cross-sect asset pric,1,2007
product,1,2007
macro factor,1,2007
production-bas asset pric,1,2007
condit asset pric,1,2007
overconfid,1,2007
inform acquisit,1,2007
price qu,1,2007
lead underwrit,1,2007
syndic,1,2007
inform provi,1,2007
risk manag,1,2007
amort,1,2007
numer techniqu,1,2007
learn,1,2007
stock recommend,1,2007
trade react,1,2007
individu and institut investor,1,2007
repurchas tender off,1,2007
quadratur,1,2007
manageri opportun,1,2007
disagr,1,2007
tast,1,2007
excess volatil,1,2007
state depend,1,2007
nonlinear,1,2007
financi contract,1,2007
financi report,1,2007
graviti model,1,2007
corpor taxat,1,2007
hous,1,2007
peck ord,1,2007
pricing-kernel restrict,1,2007
financi deficit,1,2007
risk-adjust discount r,1,2007
option valuat,1,2007
take-ov provi,1,2007
merger and acquisit,1,2007
barrier opt,1,2007
lookback opt,1,2007
proxi vot,1,2007
employe pension plan,1,2007
trade volum,1,2007
no-trad equilibrium,1,2007
portfolio autarki equilibrium,1,2007
intern financ,1,2007
option compen,1,2007
equiti compen,1,2007
employe senti,1,2007
optim,1,2007
trade pattern,1,2007
peculiar equilibrium,1,2007
demand for extern financ,1,2007
corpor chart,1,2007
default inten,1,2007
mutual fund flow,1,2007
bank lend,1,2007
exposur,1,2007
liquid discount,1,2007
market discount,1,2007
unlist target,1,2007
privat firm,1,2007
manageri ownership,1,2007
fund govern,1,2007
countercycl price-sensit,1,2007
project financ,1,2007
countercycl volatil,1,2007
garch,1,2007
long-run risk,1,2007
stock market volatil,1,2007
sharp ratio,1,2007
specialist inventori,1,2007
affirm oblig,1,2007
price continu,1,2007
default risk,1,2007
price pressur,1,2007
system risk,1,2007
econom and financi develop,1,2007
ventur capit,1,2007
cost of extern financ,1,2007
corpor diversif,1,2007
agenc cost,1,2007
bank sector outreach,1,2007
financ obstacl,1,2007
transact cost,1,2007
lockup,1,2007
credit spread,1,2007
economi of scop,1,2007
financi constraint,1,2007
technolog chang,1,2007
credit relationship,1,2007
real estat,1,2007
consumption-bas asset pric,1,2007
bank and financi cris,1,2007
credit channel,1,2007
financi glob,1,2007
intragroup loan,1,2007
merger,2,2007
certif,1,2007
currenc risk,1,2007
purchas pow,1,2007
manageri inc,1,2007
segment,1,2007
time-chang lévi process,1,2007
intern asset pric,1,2007
deriv,1,2007
foreign exchang dynam,1,2007
expect hypothesi,1,2007
credit default swap,1,2007
order flow,1,2007
floating-to-fix rate debt structur,1,2007
dealer,1,2007
inform,1,2007
idiosyncrat risk,2,2007
analyst,2,2007
commerci pap,1,2007
inertia,1,2007
equiti issuanc,1,2007
trade credit,1,2007
alpha,1,2007
persist,1,2007
profit,1,2007
state law,1,2007
leverag,1,2007
currenc opt,1,2007
repatri,1,2007
stochast skew,1,2007
disposit optim,1,2007
relationship lend,1,2007
